video_id,title,channel,late_prob,early_prob,nn_prob,mean_fake_prob
HZVZDE1GfFA,Is Climate Change a Hoax?,Tomorrow's World Viewpoint,0.8841329212355938,0.9801581632746496,0.9837445057928562,0.9493451967676999
0BzItCPk5j4,GLOBAL WARMING IS A HOAX,Lenar Whitney,0.8540385389264818,0.9717713318046248,0.9808709044009448,0.9355602583773505
N4wxHCYevTY,"The Climate Change ""Hoax"" Hoax",Chris Kershaw,0.8027196498193127,0.9814305866704284,0.9889923902228476,0.9243808755708628
rkfExRLRw5Y,Update on the Climate Change Hoax (part 1 of 2),Web Talk Radio,0.8024565475080964,0.9556687117400576,0.976975094527006,0.9117001179250533
sWeMYAoy63Y,The Global Warming Hoax - the climate change fraud,strictlyrevolution,0.7587661877778106,0.973458374427995,0.9911324009299278,0.9077856543785777
CRvnrsBnOrE,"The Climate Change Hoax—Science Exposes the Hoax – Part 3 (Other Aspects), with Jeff Holtzinger (par",Web Talk Radio,0.7627852466602691,0.9487428156619812,0.9895558832213284,0.9003613151811929
OkPNx1vM-2c,Is Global Warming a Global Hoax?,ClimateAdam,0.778858706304963,0.9410514207378774,0.9763060100376606,0.898738712360167
zG53kU3gIa4,Top 10 Climate Change Myths BUSTED,Global Landscapes Forum - GLF,0.855644965624188,0.8669392906371947,0.9471772648394108,0.8899205070335978
pwvVephTIHU,Global warming:  why you should not worry,The Boston Globe,0.7547399635575776,0.934891304133436,0.9797830767929554,0.8898047814946564
DOWTDDy6wlg,The Green New Steal: The Business of Climate Change,FORGOTTEN HISTORY,0.8207329102531511,0.9396961919110284,0.8957533612847328,0.8853941544829708
CJdDaeXKDyA,Outrageous - Climate Change Hoax,Outrageous,0.7306265163361471,0.9647778964445882,0.9574758373200892,0.8842934167002748
m3hHi4sylxE,The Truth About Climate Change,John Stossel,0.7654399663716804,0.9440401843634114,0.9268768653273582,0.8787856720208168
YBxDPdTu8iw,THE GREAT HOAX - CLIMATE CHANGE - EPISODE 1/3,Account #1,0.7203253708182455,0.9466110816442148,0.9692853335291148,0.8787405953305251
ncAiS4Z1Lnc,The Global Warming Hoax - David Icke,NEWSINFO,0.7037034130657436,0.944130764637424,0.9809210188686848,0.8762517321906174
OSwaagXTKmA,"98 Senators Finally Admit Climate Change Is Not A ""Hoax""",The Young Turks,0.7301961938004696,0.9225766304120828,0.9524180591106416,0.8683969611077313
UUi-vFRgFWw,"'Climate change a con job’: Trump 'exposes' green energy lies, calls carbon footprint ‘hoax’ at UNGA",The Economic Times,0.7235531376885606,0.9057649557133,0.9426084421575068,0.8573088451864558
G7Y8_0zAzXc,WATCH: Trump calls climate change ‘the greatest con job ever perpetrated on the world’,PBS NewsHour,0.7244243784512024,0.9061550882856112,0.9383697248995304,0.8563163972121147
O0zIVw00obk,Debunking the Climate Change Hoax: The Truth Revealed,The One,0.6896250425742965,0.9071129847295266,0.9515931345522404,0.8494437206186878
aEaFzhoS67I,Former NASA Scientists...  Global Warming Hoax,PatriotNetworkAZ,0.6607697831658362,0.8894564441712861,0.987925635650754,0.8460506209959587
cVkAsPizAbU,The Paris Climate Fraud,John Stossel,0.7389086132714803,0.9058981329802844,0.8929653242230415,0.8459240234916021
-QICBsD9Aog,"Is it too late for us to slow climate warming? | Hannah Ritchie, PhD",Big Think,0.7253246831736844,0.8783348145779513,0.9309768676757812,0.8448787884758057
9JT6EP-o-tw,EPA to reverse landmark scientific finding on climate change,CNN,0.7637688577945836,0.8509501775025244,0.905068539083004,0.8399291914600373
GMf32qo7CHk,Is There a Goldilocks Zone of Global Warming?,PBS Terra,0.6782852588760884,0.8789807162883037,0.9378341250121592,0.8317000333921838
EtW2rrLHs08,Climate Change 101 with Bill Nye | National Geographic,National Geographic,0.7003455369737761,0.8364289279232507,0.9452231749892236,0.8273325466287501
buAiehw0Q1c,Global Warming Skeptic Bell: CO2 Hoax Biggest Climate Change Lie,Newsmax,0.6775317499645337,0.8644351650238385,0.935905359685421,0.8259574248912643
tMwFNMfjFuU,What is Climate Change? Crash Course Geography #14,CrashCourse,0.7127997055965379,0.8403380824263896,0.9216542690992356,0.8249306857073878
lcua3GtWAGY,Climate Change is a Hoax Says Incoming Chair of Senate Environment Committee,The Majority Report w/ Sam Seder,0.608508450767699,0.9011312329316418,0.951674211770296,0.8204379651565455
