video_id,title,channel,late_prob,early_prob,nn_prob,mean_fake_prob
DdaVAAkIlts,The TRUTH YOU NEVER KNEW: Top 5 Shocking 9/11 Conspiracy Theories Revealed! 😱 #911 #manmadedisaster,VillageFive ,0.7602062905479405,0.9277543078442332,0.9683588668704032,0.8854398217541922
ISOs_GXEL40,9/11 CONSPIRACY: BUSH-NAZI CRIME FAMILY HISTORY,911REICHSTAG,0.803387148718221,0.9397586453699102,0.9063039273023604,0.8831499071301638
w5KjUQovLpo,The 9/11 Conspiracy Explained - Was it Bin Laden?,Conspiracy Explained,0.824091877121832,0.8898709869599455,0.9310003593564034,0.8816544078127269
SJkzDlJpFA8,The 5 Scariest 9/11 Conspiracy Theories,Wisdom Squirrl,0.7404374937752404,0.911476138510919,0.9697658400982618,0.8738931574614738
LUveSay7bIE,Unraveling the 9/11 Conspiracy Theory,The Rabbit Hole,0.7337386302634069,0.931093653188307,0.9350231140851974,0.8666184658456371
gpRB3wGswCY,Ranking 9/11 Conspiracy Theories,The Investigation Channel,0.7038659362264853,0.9404531426513032,0.9548618160188198,0.8663936316322028
yleq4KXDPoc,The 9/11 Conspiracy Theory - Explained in Under 5 Minutes,Eduardo Corrochio,0.6692830628738716,0.8961350713652881,0.9520617611706256,0.8391599651365951
9YmcJMNuL3o,The 9/11 Conspiracy,Lemonade Stand Clips,0.6657903606815218,0.8960393505887374,0.9496525265276432,0.8371607459326341
4Rn9fttMlTY,Unusual 9/11 Stories History Overlooked,Grunge,0.7205030646357403,0.8398056451025097,0.9058960676193236,0.8220682591191912
81dP13AtH_I,9/11 Conspiracy Theories: What Still Divides Us in 2025,Lost Enigma Hub,0.6679101729685092,0.8551599201695833,0.929383046925068,0.8174843800210535
Q20NmYGE-T4,Top 5 9/11 Conspiracy Theories Debunked,RKOwens4,0.6704096904394846,0.8760696711730036,0.8887631073594093,0.8117474896572991
GlAjeTunopo,David Icke talks conspiracy theories - BBC News,BBC News,0.6376306393961326,0.8983204716934579,0.8763590753078461,0.8041033954658122
LzhT-7cvoOA,Top 10 9/11 Conspiracy Theories,10 Most,0.5876005709260745,0.8659927927867781,0.9489830136299132,0.8008587924475886
OCzy9i4tIHU,A 9/11 Conspiracy Theory Explained in 5 Minutes by James Corbett (Classic),Lawyers' Committee for 9/11 Inquiry,0.6727188116623115,0.8202412664267285,0.8909485414624214,0.7946362065171538
zKZxOyzas5k,9/11 CONSPIRACY THEORIES! - (Shane Dawson Reupload) *deleted*,Smiley Street Media,0.7093465816403663,0.8092295038357685,0.8238844722509384,0.7808201859090245
4lHBHVAh2OM,5 Disturbing Facts & Unexplained Mysteries of 9/11...,Top5s,0.6059042388320587,0.8210809746509878,0.8818458840250969,0.7696103658360478
yuC_4mGTs98,9/11: A Conspiracy Theory,corbettreport,0.693467745756439,0.7831649505383252,0.8056972771883011,0.7607766578276886
xMprEb8Yluk,9/11 Conspiracy Theories To Lead You Down a DEEP Rabbit Hole...,Top5s,0.7105838451552784,0.8615933580885906,0.7022204399108887,0.7581325477182524
tbRRuMFmuQs,“There Was Foreknowledge” - Tucker Exposes the Lies About 9/11 and Building 7,Tucker Carlson Network,0.703381087343769,0.7759374388324027,0.7463133633136749,0.7418772964966155
weUbvLAr7rs,“They Allowed It” - Tucker Carlson Reveals Why He Changed His Mind About 9/11,Tucker Carlson Network,0.7560156920956467,0.7272293492642545,0.7007849514484406,0.7280099976027806
7DvVRl439X4,How 9/11 changed America and the world,TRT World,0.693020950443181,0.6887700855604277,0.7503646463155746,0.7107185607730612
w-0Ms7mId34,9/11 CONSPIRACY: A CONTROLLED DEMOLITION DESTROYED THE WTC!!,911REICHSTAG,0.6944554569310709,0.696246312804259,0.721350908279419,0.7040175593382495
d2wVb_AILso,"9/11, 2001 as it happened",The Sydney Morning Herald and The Age,0.5210290077111188,0.7231034231674143,0.8507513552904129,0.6982945953896488
wvOMo7qFArg,The Story of 9/11,Brut America,0.5788888100124058,0.6080459686112015,0.838758260011673,0.6752310128784268
yciAO5lMtVI,Sen. Ron Johnson Reveals the Lies About 9/11 and Building 7,Tucker Carlson Network,0.6579151482047461,0.6595991332125257,0.6944767534732819,0.6706636782968513
A_IZaUuK_d0,Everything You Ever Wanted To Know About The 9/11 Conspiracy Theory In Under 5 Minutes,FederalJacktube6,0.4898152024601034,0.677720663246871,0.8339980393648148,0.6671779683572631
k0ksj42YJaM,9/11 Secrets They DON'T Want You to Know,The Infographics Show,0.7173177383577423,0.6795788364808452,0.5942836999893188,0.6637267582759687
O4L1g6DEa3k,"Remembering September 11, 2001 | A Timeline of Events",CBN News,0.5103531357333734,0.5819863061259464,0.8070080578327179,0.6331158332306792
ZLga-y2N5lk,9:11 Conspiracy Theories: Inside Job or Terrorist Attack?,Curious Culture Club,0.4416772389870311,0.6885479550498712,0.7663881033658981,0.6322044324676002
uO9wpQ6b2Yw,The Five BIGGEST 9/11 Conspiracy Theories DEBUNKED Forever | JOE Features,JOE,0.4885706827518499,0.6484562232889884,0.7387202680110931,0.6252490580173106
i4CAwjfY-dU,9/11: How America’s worst terror attack unfolded,Sky News,0.5412075416871808,0.5558457757677907,0.6883838176727295,0.5951457117092337
tSBVLop9vok,10 Questions for 9/11 Conspiracy Theorists | Ft. @EdwardCurrent,NateTalksToYou,0.4434465344674642,0.61273674298422,0.725147545337677,0.5937769409297871
lVAQsD9MK4k,Real Story of 9/11 — Why Terrorists Attacked America,How it was,0.5901522222361563,0.5539184574165528,0.6184149384498596,0.5874952060341895
JUxCLjxhdcA,"9/11: Inside Job Conspiracy? The SHOCKING Tower 7 Collapse Explained! | Joe Rogan , Bridget Phetasy",JoeRogan Realm,0.3906980152456856,0.6111689600277076,0.7231026291847229,0.5749898681527054
o4-gL_crrtA,The Man Who Climbed Down the World Trade Center on 9/11 [*GRAPHIC FOOTAGE*],Darkives,0.5181343111454132,0.5831027895083667,0.5750273764133453,0.5587548256890417
fLxKLO0h7vk,"Jeffrey Epstein, JFK, and 9/11 - Joe Rogan & Tim Dillon",JRE Clips,0.5585814633945851,0.4163310698174008,0.6676629483699799,0.5475251605273219
EEogeIIOJzU,9/11: As Events Unfold,TSA,0.3307779382465436,0.434406484919582,0.8089452087879181,0.5247098773180146
5GCMq_ylDyo,Southern California commemorates victims of 9/11 terror attacks,NBCLA,0.5071988600983954,0.5195026267734845,0.4352133274078369,0.4873049380932389
mVpsofv3xp0,PKA Talks About 9/11 Conspiracy Theories,PKA Clips,0.3227199960470103,0.3984752527786285,0.735558032989502,0.4855844272717136
d6RSyIzEyuw,Women who survived 9/11 attacks share their stories | Nightline,ABC News,0.5040719784674651,0.4441999273571972,0.4522745609283447,0.4668488222510023
tUpCuJK1e60,Former ticket agent grapples with guilt after allowing hijackers on 9/11 flight,ABC News,0.5334873683963557,0.3544866678884861,0.5077454447746277,0.4652398270198232
LaPM77AXD84,U.S. Marks 24th Anniversary of 9/11 Attacks | Memorial Ceremonies Held |4K | N18G,moneycontrol,0.415322835689361,0.523005379091572,0.4125339984893799,0.45028740442343757
20E40WtjGnU,The South Park Episode About 9/11 Conspiracies,Johnny 2 Cellos,0.5334230073498702,0.3411567376711757,0.474781334400177,0.44978702647374097
GmedslmeiUc,9/11 Timeline: The Attacks on the World Trade Center in New York City | History,HISTORY,0.4473947502902616,0.492379652963642,0.3618922233581543,0.4338888755373526
sjyo8GHJC1A,9/11 Attacks,Solarwalker,0.3931646900685057,0.3547169557710977,0.5109354853630066,0.41960571040086997
GySgEL4NRFY,"What happened on September 11, 2001? | 9/11 attacks",WION,0.51002041605901,0.4352517304661303,0.2636362314224243,0.40296945931585487
GqN0Q2Z-ptY,Remembering 9/11: Today marks 24 years since the attacks,FOX 5 New York,0.3909332483193305,0.3198512713128133,0.4944002032279968,0.4017282409533802
v7y1w8iHnJE,Identifying the victims of 9/11,FOX 5 New York,0.353658193685912,0.2926066788275461,0.5031410753726959,0.38313531596205136
P1o7N6Z69Xw,Moments of Silence Mark 24 Years Since 9/11 Attacks,TODAY,0.3513188217571663,0.3439754515640095,0.4425649642944336,0.37928641253853645
pdtq2UGxWZk,FOX 5 NY's first reporting of the 9/11 attacks,FOX 5 New York,0.3755849107191891,0.3903362308024242,0.2735156416893005,0.34647892773697125
MO0ZpAo69B4,Preserving the story of 9/11 | 60 Minutes Archive,60 Minutes,0.3543196148868164,0.2372749722211231,0.338255763053894,0.3099501167206112
